case,score
_-2Juad6tOo_0_5000,55.84
_0V9pmpgzrI_0_5000,53.03
_3sLoESUCfg_0_5000,53.3
_4NEAgqguN0_222000_232000,53.62
_540cGuw2H0_0_5000,48.56
_DAJ3RfRVrk_25000_35000,46.8
_DAJ3RfRVrk_38000_48000,62.62
_O7JwtSY4yA_0_5000,53.75
_Xzok7LYUBs_0_5000,57.44
_fe0_6HdTgQ_204000_214000,56.16
_fe0_6HdTgQ_85000_95000,52.78
_rZxY2-Iwtk_180000_190000,49.28
_xkoUDFUai4_17000_27000,51.66
_xkoUDFUai4_30000_40000,47.28
a8oNPDJYt0g_2000_7000,55.75
aBQ9m59MrWw_5000_10000,51.88
aJb09Ttp69Q_0_5000,57.47
aUHfOzhQK7s_0_5000,56.47
aq3mnDRVIq0_0_10000,51.0
aq3mnDRVIq0_15000_25000,53.62
aq3mnDRVIq0_199000_209000,50.25
awO9pIgeCgQ_3000_8000,54.7
ayY0SGBN7Ow_113000_123000,49.94
ayY0SGBN7Ow_52000_62000,51.38
ayY0SGBN7Ow_82000_92000,46.78
b0Tpu878uqs_0_5000,53.0
b0VrvTkIe6I_37000_47000,49.5
b1CWQvPOpU4_10000_20000,49.9
b1CWQvPOpU4_110000_120000,51.6
b3osEsLC6JA_2000_7000,45.5
bGh4U5MIeTI_0_5000,51.7
bIAHV6ckEcU_0_5000,54.84
bWoqHajtbZc_5000_10000,47.0
bbgCbjrVE7E_3000_13000,56.38
bddjvkOo4UI_0_5000,52.22
bjVfnULGpQs_0_5000,49.8
boW_X0g5wBE_0_5000,54.5
byUA01giSqQ_0_5000,56.12
bzaRE36tlDs_33000_43000,55.22
c0vyClV7tY8_8000_18000,62.2
c3UPyEZ1yQY_0_5000,54.44
cE5Yihyqup4_1000_6000,54.56
cOCvrRkr7Dc_0_5000,51.97
cRt6_axWZqY_0_5000,51.8
cSaOGyoP45I_0_10000,48.0
cYdIxGnf2_w_10000_20000,52.53
cjTvniN7UFA_131000_141000,51.1
cjTvniN7UFA_7000_17000,52.94
csppVLHcBqI_217000_227000,55.22
d3J_aYbTaEE_28000_38000,53.38
d4yBeEbVp1Y_0_5000,56.4
dUcOkRkz6bA_115000_125000,52.28
dUcOkRkz6bA_145000_155000,51.53
dUcOkRkz6bA_293000_303000,51.22
dUcOkRkz6bA_33000_43000,46.0
dUcOkRkz6bA_387000_397000,45.25
dhic2cE57iM_108000_118000,59.66
dl1agyAq9qc_165000_175000,50.16
e4keL3T9Hz4_39000_49000,51.88
eAzfhxcAICs_10000_20000,56.22
eAzfhxcAICs_170000_180000,50.0
eAzfhxcAICs_180000_190000,56.53
eAzfhxcAICs_20000_30000,54.0
eAzfhxcAICs_210000_220000,52.62
eAzfhxcAICs_30000_40000,60.75
eAzfhxcAICs_350000_360000,54.03
eAzfhxcAICs_40000_50000,57.16
eAzfhxcAICs_410000_420000,54.94
eAzfhxcAICs_450000_460000,53.8
eAzfhxcAICs_470000_480000,55.8
eAzfhxcAICs_70000_80000,46.9
eAzfhxcAICs_90000_100000,53.38
eHt7a-qT1_8_10000_20000,49.62
eSEWJoWf_UE_5000_10000,53.2
eYQskhGxAcc_90000_100000,58.16
emtjWeYTDcU_0_5000,52.28
epwWufIvJJU_50000_60000,49.78
eq410JhVB-E_0_5000,54.3
erS9YQwNhsM_0_10000,49.28
erlE9ZS95to_0_5000,55.44
eywyl5omxxw_151000_161000,55.38
eywyl5omxxw_200000_210000,54.03
eywyl5omxxw_339000_349000,57.34
fCVqp1T7i6E_38000_48000,52.03
fCVqp1T7i6E_5000_15000,50.2
fIDq3VsjHhw_2000_7000,52.66
fJNauQt9Di0_0_5000,47.88
fOxsITNBW9g_0_5000,53.9
fVqjdaoC9lY_100000_110000,54.9
fVqjdaoC9lY_110000_120000,54.84
fVqjdaoC9lY_130000_140000,55.6
fVqjdaoC9lY_140000_150000,52.3
fVqjdaoC9lY_190000_200000,47.53
fVqjdaoC9lY_220000_230000,55.72
fVqjdaoC9lY_270000_280000,47.47
fVqjdaoC9lY_280000_290000,54.34
fVqjdaoC9lY_300000_310000,53.62
fVqjdaoC9lY_310000_320000,54.38
fVqjdaoC9lY_320000_330000,50.66
fVqjdaoC9lY_360000_370000,58.44
fVqjdaoC9lY_90000_100000,59.4
fW6NVxZZekE_0_5000,49.75
f_4f7lEbr74_0_5000,51.06
flhw_mApAx4_0_5000,55.03
fneLVe9pnfA_5000_10000,54.53
g8bdycR6YnI_0_10000,55.5
gEkGnhCZik8_0_10000,54.22
gK3rU2rqagE_0_10000,45.44
gK3rU2rqagE_20000_30000,46.47
gLNQ6Mq5kbg_89000_99000,56.44
gb5K5IjS7EA_270000_280000,46.78
gb5K5IjS7EA_292000_302000,56.25
ggXBFIWZlLI_5000_10000,54.2
gmK4cCnoUos_118000_128000,49.56
gmK4cCnoUos_166000_176000,56.0
gmK4cCnoUos_6000_16000,51.12
gmK4cCnoUos_66000_76000,48.88
gmK4cCnoUos_82000_92000,54.84
gqUuyJIqwR0_105000_115000,61.78
gqUuyJIqwR0_229000_239000,60.25
gqUuyJIqwR0_240000_250000,50.56
gqUuyJIqwR0_346000_356000,50.5
gqUuyJIqwR0_373000_383000,62.3
hF6HpmwHNvg_0_5000,53.94
hF6HpmwHNvg_21000_31000,50.16
hF6HpmwHNvg_40000_50000,51.1
hF6HpmwHNvg_78000_88000,52.66
hF6HpmwHNvg_97000_107000,59.03
hIPJTkKXarw_15000_25000,53.38
hLzVUzByQPY_12000_22000,55.38
hM6wpiXiGtE_0_10000,55.0
hRr_7qV54ks_150000_160000,50.22
hRr_7qV54ks_5000_15000,52.6
hUP7FZbgTlk_1000_11000,53.4
hUP7FZbgTlk_1388000_1398000,54.5
hUP7FZbgTlk_1513000_1523000,51.75
hUP7FZbgTlk_1705000_1715000,51.12
hUP7FZbgTlk_1887000_1897000,46.62
hUP7FZbgTlk_1980000_1990000,53.34
hUP7FZbgTlk_2075000_2085000,53.2
hUP7FZbgTlk_3743000_3753000,53.12
hUP7FZbgTlk_3759000_3769000,46.34
hUP7FZbgTlk_3784000_3794000,57.25
hUP7FZbgTlk_3808000_3818000,47.78
hUP7FZbgTlk_3827000_3837000,50.75
hUP7FZbgTlk_3857000_3867000,54.53
hUP7FZbgTlk_3977000_3987000,47.88
hUP7FZbgTlk_5204000_5214000,53.25
hXsq3VjpQAk_34000_44000,57.16
hcZkMOVKro0_10000_20000,51.06
hcZkMOVKro0_48000_58000,53.75
hh5e4B6FXkI_120000_130000,49.97
hh5e4B6FXkI_160000_170000,46.03
hh5e4B6FXkI_24000_34000,50.1
hi4sk0MuY3Y_0_10000,54.9
hi4sk0MuY3Y_16000_26000,54.84
hi4sk0MuY3Y_196000_206000,55.53
hi4sk0MuY3Y_260000_270000,58.4
hi4sk0MuY3Y_270000_280000,54.0
hi4sk0MuY3Y_35000_45000,52.72
hi4sk0MuY3Y_48000_58000,58.97
hi4sk0MuY3Y_68000_78000,55.16
hqYu4Xfxsto_10000_20000,54.12
i1rKSczUswY_2000_7000,47.22
iGd5Zzj7nLU_10000_20000,48.72
iNLG0kRRiWs_5000_10000,59.3
iPWiJxIFF8U_5000_15000,58.22
igZPDYrWGuQ_165000_175000,56.6
igZPDYrWGuQ_8000_18000,54.1
ij_xlO3j90U_0_10000,47.62
ij_xlO3j90U_15000_25000,52.44
ivLmUi43vyw_23000_33000,39.6
ivLmUi43vyw_362000_372000,48.56
ivLmUi43vyw_415000_425000,51.62
ivLmUi43vyw_429000_439000,46.53
ivLmUi43vyw_587000_597000,50.47
jFcUXJ8iv8g_30000_40000,54.9
jFpJg2jkqPI_20000_30000,51.3
jNIo5z5uQ5U_12000_22000,48.12
jNIo5z5uQ5U_66000_76000,54.9
j_dQ9POpJkI_0_5000,48.75
jb6N8wAYDSo_3000_8000,50.38
jkKlDF9wqvU_1000_11000,53.62
jp8Sesg4Z2w_2000_7000,51.1
jr8wChLbGj4_0_10000,51.4
jtL0pXwd2KE_0_5000,55.75
kUv7JBXevBA_1000_6000,53.5
kZTTTZpya-Q_4000_9000,53.22
kcLfsr0lPCU_18000_28000,54.03
kmjacEoO75U_0_10000,51.9
kmjacEoO75U_107000_117000,48.47
kmjacEoO75U_121000_131000,49.22
kmjacEoO75U_132000_142000,50.94
kmjacEoO75U_25000_35000,53.0
kmjacEoO75U_67000_77000,54.56
kmjacEoO75U_96000_106000,51.4
kt1gVqiUSeA_60000_70000,56.0
l0IRxx2HYnE_5000_10000,52.66
lDTiKYPRo0A_0_5000,55.25
lNHH74KRXI4_5000_10000,50.25
lQg9DAhSwzE_5000_10000,51.4
lVVawG0yx0A_1000_11000,51.88
lYt33lqwN90_26000_36000,53.72
liGpB4wpav0_0_5000,53.94
lnYrARRL43U_0_5000,50.3
lqXiv4wafG8_20000_30000,51.9
lqkqXDSuVJ0_0_5000,56.03
ly2hdkG0Eg0_4000_9000,57.38
m-FfTcOjM9M_0_5000,52.03
mGc0Z7E0U1I_18000_28000,58.03
mH27QUJwxjA_0_5000,50.62
mLIWQjS35T4_189000_199000,47.16
mLIWQjS35T4_21000_31000,51.16
n6ypJorMuUw_105000_115000,53.0
n6ypJorMuUw_60000_70000,54.3
nKgf9pr6qCo_0_5000,57.12
nVhJ7cqHcRA_150000_160000,53.0
nW-x55dg2Pw_0_5000,50.0
noVSfkQO0UM_0_5000,50.56
oHoc0XAIAEc_0_5000,52.44
oN4HOtAKCeM_17000_27000,48.94
oRSCL3149fI_0_10000,53.78
oRSCL3149fI_10000_20000,49.7
oRSCL3149fI_110000_120000,53.0
oRSCL3149fI_11000_21000,48.56
oRSCL3149fI_135000_145000,53.22
oRSCL3149fI_47000_57000,57.38
oRSCL3149fI_80000_90000,50.22
oRSCL3149fI_87000_97000,54.97
oVK2QsKq8ak_10000_20000,51.5
oVK2QsKq8ak_221000_231000,47.1
oVK2QsKq8ak_30000_40000,48.66
oks7KHHdGEg_5000_10000,46.1
orU_rypL43w_0_10000,51.53
p8SUGdaLPzY_0_5000,45.97
pC24FU_7YNs_0_5000,45.84
pV149D1LRDE_0_5000,50.88
pYa-LrWt97Q_0_5000,51.9
pgdNWYHLMJU_488000_498000,51.78
pgdNWYHLMJU_960000_970000,43.78
poEJ5TJr7Yo_160000_170000,63.94
pp1AsHmmf_M_40000_50000,53.72
pq6sozzF50I_4000_9000,54.12
pw-RgDovdSM_0_5000,50.84
q3N3D6IcK1g_0_5000,54.6
qHf7dLeqhqc_50000_60000,54.2
qMXGIsHTERw_20000_30000,51.22
qMXGIsHTERw_80000_90000,51.28
qYtrnr4chfU_2000_12000,57.53
qslWda0kTxA_70000_80000,49.97
qt-lsXXZCgM_0_5000,54.94
qu61nGj9W9I_0_10000,53.25
qxPKywSh65M_5000_10000,52.34
r4NdM595K5c_40000_50000,50.72
rV7tIQMI02o_17000_27000,55.7
rcBikjdVSyQ_1015000_1025000,44.44
rcBikjdVSyQ_1230000_1240000,54.47
rcBikjdVSyQ_2207000_2217000,52.22
rcBikjdVSyQ_35000_45000,53.66
rcBikjdVSyQ_68000_78000,47.22
rcBikjdVSyQ_740000_750000,45.12
rgeNP5nGQek_0_5000,53.4
rmwhCL-rJ_w_9000_19000,55.72
rt90Qj9j6gc_268000_278000,57.2
rt90Qj9j6gc_45000_55000,58.62
s9rXzaZ6JmI_0_5000,54.22
sHgZ1sVaLf0_416000_426000,53.1
sHgZ1sVaLf0_5000_15000,51.28
sQEnzZNVu7o_50000_60000,51.28
scRVGheAR_0_102000_112000,56.38
seFJhtrrmfQ_0_5000,55.12
sh-XNZSVfo4_4000_9000,48.34
slzl17ljtNo_5000_10000,53.2
srsXEvgEuZU_0_5000,52.1
t72-bvBn8bE_2000_7000,54.16
tRuQMlN2A4s_36000_46000,49.8
tS1_T-Fgjsc_178000_188000,51.34
tS1_T-Fgjsc_26000_36000,55.0
tTGSnwqrU1Q_0_5000,45.84
tTSZWstnaI4_4000_9000,55.28
td5qjREoy90_0_5000,57.6
u5eXHPwdmE8_13000_23000,45.12
u5eXHPwdmE8_37000_47000,46.38
uAl-gZBDR1c_0_5000,50.7
uCy4qYA1AlY_28000_38000,56.66
uHSKYPp9ufg_95000_105000,54.44
uwurbj9gXUU_15000_25000,49.5
uz2pxQKVBmY_0_5000,53.12
vBqPbz5Pg-M_5000_10000,54.94
vGIs0GU1V6M_27000_37000,48.88
vGIs0GU1V6M_70000_80000,50.62
vJ29SrUu6n4_0_5000,51.06
vg5j3vIURtM_15000_25000,53.94
vg5j3vIURtM_45000_55000,52.2
w4OwZqwKz_s_130000_140000,51.94
wAO7mqxpGj4_70000_80000,51.47
wAUR5bMcIBA_1000_6000,54.94
wBnRLl7fTSE_0_5000,51.94
wEGD8-RTMuI_10000_20000,53.62
wEGD8-RTMuI_50000_60000,54.34
wOX76HirZ3s_4000_9000,49.75
wPTAPyB-Mrs_43000_53000,52.22
wb0exb22Wxs_173000_183000,56.06
wb0exb22Wxs_63000_73000,55.94
weBYMFJ_EwE_0_10000,52.53
weBYMFJ_EwE_250000_260000,58.25
weBYMFJ_EwE_30000_40000,57.7
wzLnvUzvdFY_0_10000,46.5
wzLnvUzvdFY_182000_192000,56.22
wzLnvUzvdFY_228000_238000,48.47
wzLnvUzvdFY_43000_53000,54.1
x1LiSijUwsA_6000_16000,49.34
x5YrSv4PzqA_0_5000,52.88
xHeSA6fenr0_50000_60000,50.84
xKpgklUn0QI_63000_73000,52.8
xMZ4lAPWieU_38000_48000,46.0
xXl8zeUc1C0_250000_260000,55.3
xXl8zeUc1C0_550000_560000,59.56
xcn3rDt_LyY_0_5000,52.38
xeE56IWFQp4_0_5000,52.2
xlAoMDWxRfY_111000_121000,47.78
xlAoMDWxRfY_2000_12000,46.03
xlAoMDWxRfY_57000_67000,52.88
xnuXC9XIkaE_2000_7000,58.16
xsKDlRGubgM_235000_245000,51.22
xsKDlRGubgM_353000_363000,48.8
xsKDlRGubgM_40000_50000,58.06
xsKDlRGubgM_447000_457000,57.4
xsKDlRGubgM_590000_600000,50.56
xsKDlRGubgM_605000_615000,43.12
xxY6UczwYqk_30000_40000,50.84
y2o2K01g46U_40000_50000,51.97
y4F4RvMt_xI_17000_27000,54.03
y9QEm0_Etys_38000_48000,54.7
yB0GcLlUnr0_446000_456000,58.25
yB0GcLlUnr0_99000_109000,59.62
ycY3bU9ZWEY_120000_130000,47.2
ycY3bU9ZWEY_146000_156000,49.44
yk3_Ctt3mDo_1000_6000,55.12
z0O5uQ8lPCI_3000_8000,50.25
z9NCoRcHSuE_5000_10000,51.56
zVTolK_Yb34_45000_55000,35.3
zYtkNpyuIrU_0_5000,54.94
zcJLBgy-gaQ_410000_420000,57.1
zcJLBgy-gaQ_895000_905000,55.16
zfnNiLD_wug_55000_65000,51.94
mean,52.7
